op_name,baseline_flops,candidate_flops,saved_flops,saved_pct_of_baseline_op
mlp_down_proj,1890121154560,1222987743232,667133411328,35.295801526717554
mlp_gate_proj,1890121154560,1222987743232,667133411328,35.295801526717554
mlp_up_proj,1890121154560,1222987743232,667133411328,35.295801526717554
k_proj,703300894720,455065206784,248235687936,35.295801526717554
o_proj,703300894720,455065206784,248235687936,35.295801526717554
q_proj,703300894720,455065206784,248235687936,35.295801526717554
v_proj,703300894720,455065206784,248235687936,35.295801526717554
lm_head_actual_model_path,171704320000,20709376000,150994944000,87.93893129770993
attn_qk_matmul,107273519104,64251314176,43022204928,40.10514923658899
attn_sv_matmul,107273519104,64251314176,43022204928,40.10514923658899
clip_attn_qk_matmul,16364126208,16364126208,0,0.0
clip_attn_sv_matmul,16364126208,16364126208,0,0.0
clip_mlp_fc1,116165443584,116165443584,0,0.0
clip_mlp_fc2,116165443584,116165443584,0,0.0
clip_o_proj,29041360896,29041360896,0,0.0
clip_patch_embed,693633024,693633024,0,0.0
clip_qkv_proj,87124082688,87124082688,0,0.0
lm_head_ideal_last_token_only,8388608000,8388608000,0,0.0
mm_projector_mlp2x_gelu,24159191040,24159191040,0,0.0
visipruner_value_selection_aux,0,229441536,-229441536,0.0
