batch_size,exit_indicator_in,exit_indicator_out,forward_id,hidden_shape_in,hidden_shape_out,important_visual_tokens_in,important_visual_tokens_out,kv_len,layer_idx,past_len,phase,position_last,position_shape,q_len
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,0,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,1,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,2,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,3,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,4,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,5,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,6,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,7,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,8,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,9,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,10,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,11,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,12,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,13,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,14,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,15,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,16,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,17,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,18,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,19,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,20,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,21,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,22,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,23,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,24,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,25,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,26,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,27,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,28,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,29,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,30,0,prefill,623,"[1, 624]",624
1,0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,,624,31,0,prefill,623,"[1, 624]",624
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,0,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,1,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,2,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,3,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,4,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,5,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,6,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,7,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,8,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,9,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,10,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,11,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,12,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,13,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,14,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,15,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,16,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,17,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,18,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,19,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,20,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,21,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,22,624,decode,624,"[1, 1]",1
1,0,0,2,"[1, 1, 4096]","[1, 1, 4096]",,,625,23,624,decode,624,"[1, 1]",1
