batch_size,flops,formula,forward_id,kv_len,layer_idx,op_name,phase,q_len,source
1,693633024,2*PATCHES*(3*PATCH*PATCH)*VISION_D,,0,-1,clip_patch_embed,vision,576,formula
1,3630170112,2*N*D*D*3,,577,0,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,0,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,0,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,0,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,0,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,0,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,1,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,1,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,1,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,1,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,1,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,1,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,2,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,2,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,2,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,2,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,2,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,2,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,3,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,3,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,3,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,3,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,3,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,3,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,4,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,4,clip_attn_qk_matmul,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,4,clip_attn_sv_matmul,vision,577,formula
1,1210056704,2*N*D*D,,577,4,clip_o_proj,vision,577,formula
1,4840226816,2*N*D*FFN,,577,4,clip_mlp_fc1,vision,577,formula
1,4840226816,2*N*FFN*D,,577,4,clip_mlp_fc2,vision,577,formula
1,3630170112,2*N*D*D*3,,577,5,clip_qkv_proj,vision,577,formula
1,681838592,2*H*N*N*HEAD_DIM,,577,5,clip_attn_qk_matmul,vision,577,formula
