event_id,input_id,keep_default,kv_len,layer_id,past_len,phase,priority,q_len,reason,repeat_group,repeat_members,selection_result,token_state,visipruner_role
input1_layer0,1,True,624,0,0,prefill,P2,624,representative shallow-mask/control-boundary layer,prefill|full_visual|shallow_or_boundary||624|624,"input1_layer0,input1_layer5,input1_layer6",,full_visual,shallow_or_boundary
input1_layer5,1,True,624,5,0,prefill,P2,624,representative shallow-mask/control-boundary layer,prefill|full_visual|shallow_or_boundary||624|624,"input1_layer0,input1_layer5,input1_layer6",,full_visual,shallow_or_boundary
input1_layer6,1,True,624,6,0,prefill,P2,624,representative shallow-mask/control-boundary layer,prefill|full_visual|shallow_or_boundary||624|624,"input1_layer0,input1_layer5,input1_layer6",,full_visual,shallow_or_boundary
input1_layer7,1,True,624,7,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer8,1,True,624,8,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer9,1,True,624,9,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer10,1,True,624,10,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer11,1,True,624,11,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer12,1,True,624,12,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer13,1,True,624,13,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
input1_layer14,1,True,624,14,0,prefill,P0,624,value_aware_token_selection called and returned none,prefill|full_visual|middle_probe|none|624|624,"input1_layer7,input1_layer8,input1_layer9,input1_layer10,input1_layer11,input1_layer12,input1_layer13,input1_layer14,input1_layer15,input1_layer16,input1_layer17",none,full_visual,middle_probe
