count,event_id,module_path,module_relative_path,op_name,op_schema,runtime_module_scope
1,input1_layer0,model.layers.0.input_layernorm,input_layernorm,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",input_layernorm
1,input1_layer0,model.layers.0.input_layernorm,input_layernorm,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",input_layernorm
2,input1_layer0,model.layers.0.input_layernorm,input_layernorm,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",input_layernorm
1,input1_layer0,model.layers.0.input_layernorm,input_layernorm,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",input_layernorm
1,input1_layer0,model.layers.0.input_layernorm,input_layernorm,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,input_layernorm
2,input1_layer0,model.layers.0.input_layernorm,input_layernorm,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",input_layernorm
1,input1_layer0,model.layers.0.mlp,mlp,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",mlp
1,input1_layer0,model.layers.0.mlp.act_fn,mlp.act_fn,silu.default,aten::silu(Tensor self) -> Tensor,mlp.act_fn
1,input1_layer0,model.layers.0.mlp.down_proj,mlp.down_proj,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",mlp.down_proj
1,input1_layer0,model.layers.0.mlp.gate_proj,mlp.gate_proj,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",mlp.gate_proj
1,input1_layer0,model.layers.0.mlp.up_proj,mlp.up_proj,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",mlp.up_proj
2,input1_layer0,model.layers.0,,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.0
1,input1_layer0,model.layers.0.post_attention_layernorm,post_attention_layernorm,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",post_attention_layernorm
1,input1_layer0,model.layers.0.post_attention_layernorm,post_attention_layernorm,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",post_attention_layernorm
2,input1_layer0,model.layers.0.post_attention_layernorm,post_attention_layernorm,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",post_attention_layernorm
1,input1_layer0,model.layers.0.post_attention_layernorm,post_attention_layernorm,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",post_attention_layernorm
1,input1_layer0,model.layers.0.post_attention_layernorm,post_attention_layernorm,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,post_attention_layernorm
2,input1_layer0,model.layers.0.post_attention_layernorm,post_attention_layernorm,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",post_attention_layernorm
4,input1_layer0,model.layers.0.self_attn,self_attn,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",self_attn
2,input1_layer0,model.layers.0.self_attn,self_attn,cat.default,"aten::cat(Tensor[] tensors, int dim=0) -> Tensor",self_attn
1,input1_layer0,model.layers.0.self_attn,self_attn,contiguous.default,"aten::contiguous(Tensor(a) self, *, MemoryFormat memory_format=0) -> Tensor(a)",self_attn
1,input1_layer0,model.layers.0.self_attn,self_attn,copy_.default,"aten::copy_(Tensor(a!) self, Tensor src, bool non_blocking=False) -> Tensor(a!)",self_attn
1,input1_layer0,model.layers.0.self_attn,self_attn,div.Tensor,"aten::div.Tensor(Tensor self, Tensor other) -> Tensor",self_attn
1,input1_layer0,model.layers.0.self_attn,self_attn,dropout.default,"aten::dropout(Tensor input, float p, bool train) -> Tensor",self_attn
1,input1_layer0,model.layers.0.self_attn,self_attn,fill_.Tensor,"aten::fill_.Tensor(Tensor(a!) self, Tensor value) -> Tensor(a!)",self_attn
2,input1_layer0,model.layers.0.self_attn,self_attn,gt.Scalar,"aten::gt.Scalar(Tensor self, Scalar other) -> Tensor",self_attn
2,input1_layer0,model.layers.0.self_attn,self_attn,index.Tensor,"aten::index.Tensor(Tensor self, Tensor?[] indices) -> Tensor",self_attn
2,input1_layer0,model.layers.0.self_attn,self_attn,is_nonzero.default,aten::is_nonzero(Tensor self) -> bool,self_attn
4,input1_layer0,model.layers.0.self_attn,self_attn,item.default,aten::item(Tensor self) -> Scalar,self_attn
1,input1_layer0,model.layers.0.self_attn,self_attn,lift_fresh.default,aten::lift_fresh(Tensor(a) self) -> Tensor(a),self_attn
2,input1_layer0,model.layers.0.self_attn,self_attn,matmul.default,"aten::matmul(Tensor self, Tensor other) -> Tensor",self_attn
