module_path,module_relative_path,module_type,module_class,module_forward_file,module_forward_lineno,first_event_op_index,last_event_op_index,op_count,event_op_indices,op_counts,input_tensor_ids,output_tensor_ids,external_input_tensor_ids,module_output_tensor_ids
model.layers.13.input_layernorm,input_layernorm,LlamaRMSNorm,llava.model.language_model.custom_modeling_llama.LlamaRMSNorm,/workspace/VisiPrune/repo/llava/model/language_model/custom_modeling_llama.py,139,1,8,8,"[1,2,3,4,5,6,7,8]","{""add.Tensor"": 1, ""mean.dim"": 1, ""mul.Tensor"": 2, ""pow.Tensor_Scalar"": 1, ""rsqrt.default"": 1, ""to.dtype"": 2}","[""t00000851"",""t00000852"",""t00000853"",""t00000854"",""t00000855"",""t00000856"",""t00000857"",""t00000859"",""t00000858""]","[""t00000852"",""t00000853"",""t00000854"",""t00000855"",""t00000856"",""t00000857"",""t00000858"",""t00000860""]","[""t00000851"",""t00000859""]","[""t00000860""]"
model.layers.13.self_attn.q_proj,self_attn.q_proj,Linear,torch.nn.modules.linear.Linear,/opt/conda/envs/cu132/lib/python3.12/site-packages/torch/nn/modules/linear.py,130,9,9,1,[9],"{""linear.default"": 1}","[""t00000860"",""t00000861""]","[""t00000862""]","[""t00000860"",""t00000861""]","[""t00000862""]"
model.layers.13.self_attn.k_proj,self_attn.k_proj,Linear,torch.nn.modules.linear.Linear,/opt/conda/envs/cu132/lib/python3.12/site-packages/torch/nn/modules/linear.py,130,10,10,1,[10],"{""linear.default"": 1}","[""t00000860"",""t00000863""]","[""t00000864""]","[""t00000860"",""t00000863""]","[""t00000864""]"
model.layers.13.self_attn.v_proj,self_attn.v_proj,Linear,torch.nn.modules.linear.Linear,/opt/conda/envs/cu132/lib/python3.12/site-packages/torch/nn/modules/linear.py,130,11,11,1,[11],"{""linear.default"": 1}","[""t00000860"",""t00000865""]","[""t00000866""]","[""t00000860"",""t00000865""]","[""t00000866""]"
model.layers.13.self_attn,self_attn,VisiPrunerLlamaAttention,llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention,/workspace/VisiPrune/repo/llava/model/language_model/custom_modeling_llama.py,614,12,81,62,"[12,13,14,15,16,17,18,19,20,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81]","{""add.Tensor"": 5, ""any.default"": 1, ""cat.default"": 2, ""contiguous.default"": 2, ""cosine_similarity.default"": 1, ""div.Tensor"": 1, ""dropout.default"": 1, ""eq.Scalar"": 1, ""gt.Scalar"": 1, ""index.Tensor"": 2, ""is_nonzero.default"": 2, ""item.default"": 2, ""lt.Scalar"": 1, ""matmul.default"": 2, ""mul.Tensor"": 5, ""neg.default"": 2, ""permute.default"": 1, ""reshape.default"": 1, ""select.int"": 6, ""slice.Tensor"": 5, ""softmax.int"": 1, ""squeeze.dim"": 1, ""sub.Tensor"": 1, ""to.dtype"": 1, ""transpose.int"": 5, ""unsqueeze.default"": 5, ""view.default"": 4}","[""t00000862"",""t00000867"",""t00000864"",""t00000869"",""t00000866"",""t00000871"",""t00000023"",""t00000873"",""t00000874"",""t00000878"",""t00000881"",""t00000880"",""t00000883"",""t00000868"",""t00000882"",""t00000887"",""t00000888"",""t00000886"",""t00000889"",""t00000884"",""t00000885"",""t00000890"",""t00000870"",""t00000894"",""t00000895"",""t00000893"",""t00000896"",""t00000892"",""t00000897"",""t00000898"",""t00000891"",""t00000899"",""t00000900"",""t00000901"",""t00000053"",""t00000902"",""t00000903"",""t00000904"",""t00000872"",""t00000905"",""t00000906"",""t00000907"",""t00000057"",""t00000909"",""t00000910"",""t00000911"",""t00000912"",""t00000913"",""t00000908"",""t00000915"",""t00000916"",""t00000917"",""t00000918"",""t00000919"",""t00000921"",""t00000920"",""t00000914"",""t00000923"",""t00000922"",""t00000924"",""t00000925"",""t00000926"",""t00000927"",""t00000928"",""t00000929""]","[""t00000867"",""t00000868"",""t00000869"",""t00000870"",""t00000871"",""t00000872"",""t00000873"",""t00000874"",""t00000875"",""t00000881"",""t00000882"",""t00000883"",""t00000884"",""t00000885"",""t00000886"",""t00000887"",""t00000888"",""t00000889"",""t00000890"",""t00000891"",""t00000892"",""t00000893"",""t00000894"",""t00000895"",""t00000896"",""t00000897"",""t00000898"",""t00000899"",""t00000900"",""t00000901"",""t00000902"",""t00000903"",""t00000904"",""t00000905"",""t00000906"",""t00000907"",""t00000908"",""t00000909"",""t00000910"",""t00000911"",""t00000912"",""t00000913"",""t00000914"",""t00000915"",""t00000916"",""t00000917"",""t00000918"",""t00000919"",""t00000920"",""t00000922"",""t00000923"",""t00000924"",""t00000925"",""t00000926"",""t00000927"",""t00000928"",""t00000929""]","[""t00000862"",""t00000864"",""t00000866"",""t00000023"",""t00000878"",""t00000880"",""t00000053"",""t00000057"",""t00000921""]","[""t00000875""]"
model.layers.13.self_attn.rotary_emb,self_attn.rotary_emb,LlamaRotaryEmbedding,llava.model.language_model.custom_modeling_llama.LlamaRotaryEmbedding,/workspace/VisiPrune/repo/llava/model/language_model/custom_modeling_llama.py,175,21,28,8,"[21,22,23,24,25,26,27,28]","{""gt.Scalar"": 1, ""is_nonzero.default"": 1, ""item.default"": 2, ""slice.Tensor"": 2, ""to.dtype"": 2}","[""t00000875"",""t00000876"",""t00000877"",""t00000878"",""t00000879"",""t00000880""]","[""t00000876"",""t00000878"",""t00000880""]","[""t00000875"",""t00000877"",""t00000879""]",[]
model.layers.13.self_attn.o_proj,self_attn.o_proj,Linear,torch.nn.modules.linear.Linear,/opt/conda/envs/cu132/lib/python3.12/site-packages/torch/nn/modules/linear.py,130,82,82,1,[82],"{""linear.default"": 1}","[""t00000908"",""t00000930""]","[""t00000931""]","[""t00000908"",""t00000930""]","[""t00000931""]"
model.layers.13,,LlamaDecoderLayer,llava.model.language_model.custom_modeling_llama.LlamaDecoderLayer,/workspace/VisiPrune/workload_analysis/dispatch/tools/visipruner_filtered_dispatch_profile.py,881,83,97,2,"[83,97]","{""add.Tensor"": 2}","[""t00000851"",""t00000931"",""t00000932"",""t00000949""]","[""t00000932"",""t00000950""]","[""t00000851"",""t00000931"",""t00000949""]","[""t00000950""]"
model.layers.13.post_attention_layernorm,post_attention_layernorm,LlamaRMSNorm,llava.model.language_model.custom_modeling_llama.LlamaRMSNorm,/workspace/VisiPrune/repo/llava/model/language_model/custom_modeling_llama.py,139,84,91,8,"[84,85,86,87,88,89,90,91]","{""add.Tensor"": 1, ""mean.dim"": 1, ""mul.Tensor"": 2, ""pow.Tensor_Scalar"": 1, ""rsqrt.default"": 1, ""to.dtype"": 2}","[""t00000932"",""t00000933"",""t00000934"",""t00000935"",""t00000936"",""t00000937"",""t00000938"",""t00000940"",""t00000939""]","[""t00000933"",""t00000934"",""t00000935"",""t00000936"",""t00000937"",""t00000938"",""t00000939"",""t00000941""]","[""t00000932"",""t00000940""]","[""t00000941""]"
model.layers.13.mlp.gate_proj,mlp.gate_proj,Linear,torch.nn.modules.linear.Linear,/opt/conda/envs/cu132/lib/python3.12/site-packages/torch/nn/modules/linear.py,130,92,92,1,[92],"{""linear.default"": 1}","[""t00000941"",""t00000942""]","[""t00000943""]","[""t00000941"",""t00000942""]","[""t00000943""]"
