tensor_id,producer_event_op_index,producer_op_name,consumer_event_op_index,consumer_op_name
t00000951,1,to.dtype,2,pow.Tensor_Scalar
t00000952,2,pow.Tensor_Scalar,3,mean.dim
t00000953,3,mean.dim,4,add.Tensor
t00000954,4,add.Tensor,5,rsqrt.default
t00000951,1,to.dtype,6,mul.Tensor
t00000955,5,rsqrt.default,6,mul.Tensor
t00000956,6,mul.Tensor,7,to.dtype
t00000957,7,to.dtype,8,mul.Tensor
t00000959,8,mul.Tensor,9,linear.default
t00000959,8,mul.Tensor,10,linear.default
t00000959,8,mul.Tensor,11,linear.default
t00000961,9,linear.default,12,view.default
t00000966,12,view.default,13,transpose.int
t00000963,10,linear.default,14,view.default
t00000968,14,view.default,15,transpose.int
t00000965,11,linear.default,16,view.default
t00000970,16,view.default,17,transpose.int
t00000972,18,select.int,19,select.int
t00000973,19,select.int,20,add.Tensor
t00000974,20,add.Tensor,21,gt.Scalar
t00000975,21,gt.Scalar,22,is_nonzero.default
t00000974,20,add.Tensor,23,item.default
t00000977,24,slice.Tensor,25,to.dtype
t00000974,20,add.Tensor,26,item.default
t00000979,27,slice.Tensor,28,to.dtype
t00000977,25,to.dtype,29,index.Tensor
t00000980,29,index.Tensor,30,unsqueeze.default
t00000979,28,to.dtype,31,index.Tensor
t00000982,31,index.Tensor,32,unsqueeze.default
t00000967,13,transpose.int,33,mul.Tensor
t00000981,30,unsqueeze.default,33,mul.Tensor
t00000967,13,transpose.int,34,slice.Tensor
t00000967,13,transpose.int,35,slice.Tensor
t00000986,35,slice.Tensor,36,neg.default
t00000987,36,neg.default,37,cat.default
t00000985,34,slice.Tensor,37,cat.default
t00000988,37,cat.default,38,mul.Tensor
t00000983,32,unsqueeze.default,38,mul.Tensor
t00000984,33,mul.Tensor,39,add.Tensor
t00000989,38,mul.Tensor,39,add.Tensor
t00000969,15,transpose.int,40,mul.Tensor
t00000981,30,unsqueeze.default,40,mul.Tensor
t00000969,15,transpose.int,41,slice.Tensor
t00000969,15,transpose.int,42,slice.Tensor
t00000993,42,slice.Tensor,43,neg.default
t00000994,43,neg.default,44,cat.default
t00000992,41,slice.Tensor,44,cat.default
t00000995,44,cat.default,45,mul.Tensor
t00000983,32,unsqueeze.default,45,mul.Tensor
t00000991,40,mul.Tensor,46,add.Tensor
t00000996,45,mul.Tensor,46,add.Tensor
t00000997,46,add.Tensor,47,transpose.int
t00000990,39,add.Tensor,48,matmul.default
t00000998,47,transpose.int,48,matmul.default
t00000999,48,matmul.default,49,div.Tensor
t00001000,49,div.Tensor,50,add.Tensor
t00001001,50,add.Tensor,51,softmax.int
t00001002,51,softmax.int,52,to.dtype
t00001003,52,to.dtype,53,dropout.default
t00001003,53,dropout.default,54,matmul.default
t00000971,17,transpose.int,54,matmul.default
t00001004,54,matmul.default,55,transpose.int
t00001005,55,transpose.int,56,contiguous.default
t00001006,56,contiguous.default,57,reshape.default
t00001008,58,gt.Scalar,59,is_nonzero.default
t00001009,60,select.int,61,select.int
t00001010,61,select.int,62,add.Tensor
t00001011,62,add.Tensor,63,eq.Scalar
t00001012,63,eq.Scalar,64,is_nonzero.default
t00001007,57,reshape.default,65,select.int
t00001003,53,dropout.default,66,select.int
t00001014,66,select.int,67,unsqueeze.default
t00001015,67,unsqueeze.default,68,mul.Tensor
t00000971,17,transpose.int,68,mul.Tensor
t00001016,68,mul.Tensor,69,permute.default
t00001017,69,permute.default,70,contiguous.default
t00001018,70,contiguous.default,71,view.default
t00001019,71,view.default,73,slice.Tensor
t00001013,65,select.int,74,unsqueeze.default
t00001022,74,unsqueeze.default,75,sub.Tensor
t00001021,73,slice.Tensor,75,sub.Tensor
t00001013,65,select.int,76,unsqueeze.default
t00001023,75,sub.Tensor,77,cosine_similarity.default
t00001024,76,unsqueeze.default,77,cosine_similarity.default
t00001025,77,cosine_similarity.default,78,squeeze.dim
t00001026,78,squeeze.dim,79,lt.Scalar
t00001027,79,lt.Scalar,80,any.default
t00001028,80,any.default,81,item.default
t00001007,57,reshape.default,82,linear.default
t00001030,82,linear.default,83,add.Tensor
t00001031,83,add.Tensor,84,to.dtype
t00001032,84,to.dtype,85,pow.Tensor_Scalar
t00001033,85,pow.Tensor_Scalar,86,mean.dim
t00001034,86,mean.dim,87,add.Tensor
t00001035,87,add.Tensor,88,rsqrt.default
t00001032,84,to.dtype,89,mul.Tensor
t00001036,88,rsqrt.default,89,mul.Tensor
t00001037,89,mul.Tensor,90,to.dtype
t00001038,90,to.dtype,91,mul.Tensor
t00001040,91,mul.Tensor,92,linear.default
t00001042,92,linear.default,93,silu.default
t00001040,91,mul.Tensor,94,linear.default
t00001043,93,silu.default,95,mul.Tensor
t00001045,94,linear.default,95,mul.Tensor
t00001046,95,mul.Tensor,96,linear.default
t00001031,83,add.Tensor,97,add.Tensor
t00001048,96,linear.default,97,add.Tensor
