event_op_index,global_op_index,op_name,op_schema,module_path,module_relative_path,runtime_subprocess,module_split_covered,tensor_dataflow_covered,stage_evidence,input_tensor_ids,output_tensor_ids
1,2221,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002271""]","[""t00002272""]"
2,2222,pow.Tensor_Scalar,"aten::pow.Tensor_Scalar(Tensor self, Scalar exponent) -> Tensor",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002272""]","[""t00002273""]"
3,2223,mean.dim,"aten::mean.dim(Tensor self, int[1]? dim, bool keepdim=False, *, ScalarType? dtype=None) -> Tensor",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002273""]","[""t00002274""]"
4,2224,add.Tensor,"aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002274""]","[""t00002275""]"
5,2225,rsqrt.default,aten::rsqrt(Tensor self) -> Tensor,model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002275""]","[""t00002276""]"
6,2226,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002272"",""t00002276""]","[""t00002277""]"
7,2227,to.dtype,"aten::to.dtype(Tensor(a) self, ScalarType dtype, bool non_blocking=False, bool copy=False, MemoryFormat? memory_format=None) -> Tensor(a)",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002277""]","[""t00002278""]"
8,2228,mul.Tensor,"aten::mul.Tensor(Tensor self, Tensor other) -> Tensor",model.layers.27.input_layernorm,input_layernorm,model.layers.27.input_layernorm,True,True,"[""input_rmsnorm""]","[""t00002279"",""t00002278""]","[""t00002280""]"
9,2229,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.27.self_attn.q_proj,self_attn.q_proj,model.layers.27.self_attn.q_proj,True,True,"[""qkv_projection""]","[""t00002280"",""t00002281""]","[""t00002282""]"
10,2230,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.27.self_attn.k_proj,self_attn.k_proj,model.layers.27.self_attn.k_proj,True,True,"[""qkv_projection""]","[""t00002280"",""t00002283""]","[""t00002284""]"
11,2231,linear.default,"aten::linear(Tensor input, Tensor weight, Tensor? bias=None) -> Tensor",model.layers.27.self_attn.v_proj,self_attn.v_proj,model.layers.27.self_attn.v_proj,True,True,"[""qkv_projection""]","[""t00002280"",""t00002285""]","[""t00002286""]"
12,2232,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.27.self_attn,self_attn,model.layers.27.self_attn,True,True,"[""qkv_projection""]","[""t00002282""]","[""t00002287""]"
13,2233,transpose.int,"aten::transpose.int(Tensor(a) self, int dim0, int dim1) -> Tensor(a)",model.layers.27.self_attn,self_attn,model.layers.27.self_attn,True,True,"[""qkv_projection"",""attention""]","[""t00002287""]","[""t00002288""]"
14,2234,view.default,"aten::view(Tensor(a) self, SymInt[] size) -> Tensor(a)",model.layers.27.self_attn,self_attn,model.layers.27.self_attn,True,True,"[""qkv_projection""]","[""t00002284""]","[""t00002289""]"
