event_id,status,issue_count,row_count,module_count,phase,role,token_state,q_len,kv_len,visual_adjust_kind,prune_probe_kind,expected_stages,onnx_stages,issue_codes
input1_layer0,pass,0,91,14,prefill,shallow_or_boundary,full_visual,624,624,fold_tail_visual_mass_and_clear_region,,input_rmsnorm | qkv_projection | rope | attention | visual_adjust | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visual_adjust | attention_output | mlp | full_flow,
input1_layer10,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer11,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer12,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer13,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer14,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer15,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer16,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer17,pass,0,97,14,prefill,middle_probe,full_visual,624,624,,middle_probe_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer18,pass,0,104,14,prefill,middle_select;boundary_before_prune,full_visual,624,624,,middle_selection_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer19,pass,0,100,14,prefill,deep_check;boundary_after_prune,middle_pruned,58,58,,deep_exit_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer20,pass,0,100,14,prefill,deep_check,middle_pruned,58,58,,deep_exit_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer21,pass,0,100,14,prefill,deep_check,middle_pruned,58,58,,deep_exit_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
input1_layer22,pass,0,100,14,prefill,deep_check,middle_pruned,58,58,,deep_exit_similarity_check,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp,input_rmsnorm | qkv_projection | rope | attention | visipruner_similarity_check | attention_output | mlp | full_flow,
