event_id,forward_id,fx_sampled,fx_trace_status,fx_traced,hidden_shape_in,hidden_shape_out,kv_len,layer_id,node_count,past_len,phase,position_shape,q_len,specialization,status,trace_dir
input1_layer0,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,0,126,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 0, ""records"": []}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer0
input1_layer5,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,5,120,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 0, ""records"": []}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer5
input1_layer6,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,6,115,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 0, ""records"": []}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer6
input1_layer7,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,7,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer7
input1_layer8,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,8,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer8
input1_layer9,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,9,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer9
input1_layer10,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,10,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer10
input1_layer11,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,11,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer11
input1_layer12,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,12,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer12
input1_layer13,1,True,ok,True,"[1, 624, 4096]","[1, 624, 4096]",624,13,125,0,prefill,"[1, 624]",624,"{""attention_forward"": {""enabled"": true, ""fixed_shape_values"": {""batch_size"": 1, ""q_len"": 624}, ""kind"": ""position_ids_last_plus_one"", ""position_last_plus_one"": 624, ""replacement_count"": 4, ""source_function"": ""llava.model.language_model.custom_modeling_llama.VisiPrunerLlamaAttention.forward""}, ""constant_module_attrs"": {""num_images"": 1, ""vis_end_index"": 611}, ""output_normalization"": {""dynamic_cache"": ""return_current_layer_key_value_tensors"", ""enabled"": true}, ""strategy"": ""analysis_only_runtime_input_specialization"", ""value_aware_token_selection"": {""mode"": ""record"", ""record_count"": 1, ""records"": [{""call_index"": 0, ""case"": ""select"", ""decision"": false, ""threshold"": 0.995, ""vis_end_index"": 611}]}}",ok,/workspace/VisiPrune/workload_analysis/fx/traces/fx_filtered_dispatch_layers_specialized/input1_layer13
