index,process_stage,name,op,target,args,users,shape,dtype
0,inputs,arg0_1,placeholder,arg0_1,,_to_copy_default add_tensor_4,,
1,inputs,arg1_1,placeholder,arg1_1,,add_tensor_3,,
2,inputs,arg2_1,placeholder,arg2_1,,index_tensor index_tensor_1,,
3,inputs,arg3_1,placeholder,arg3_1,,,,
4,inputs,arg4_1,placeholder,arg4_1,,,,
5,inputs,arg5_1,placeholder,arg5_1,,,,
6,inputs,arg6_1,placeholder,arg6_1,,output,,
7,inputs,arg7_1,placeholder,arg7_1,,,,
8,input_rmsnorm,_to_copy_default,call_function,aten._to_copy.default,arg0_1,mul_tensor pow_tensor_scalar,,
9,input_rmsnorm,pow_tensor_scalar,call_function,aten.pow.Tensor_Scalar,_to_copy_default,mean_dim,,
10,input_rmsnorm,mean_dim,call_function,aten.mean.dim,pow_tensor_scalar,add_tensor,,
11,input_rmsnorm,add_tensor,call_function,aten.add.Tensor,mean_dim,rsqrt_default,,
12,input_rmsnorm,rsqrt_default,call_function,aten.rsqrt.default,add_tensor,mul_tensor,,
13,input_rmsnorm,mul_tensor,call_function,aten.mul.Tensor,_to_copy_default rsqrt_default,_to_copy_default_1,,
14,input_rmsnorm,_to_copy_default_1,call_function,aten._to_copy.default,mul_tensor,mul_tensor_1,,
15,input_rmsnorm,_param_constant0,get_attr,_param_constant0,,mul_tensor_1,"[
  4096
]",float16
16,qkv_projection,mul_tensor_1,call_function,aten.mul.Tensor,_param_constant0 _to_copy_default_1,view_default view_default_1 view_default_2,,
17,qkv_projection,view_default,call_function,aten.view.default,mul_tensor_1,mm_default,,
18,qkv_projection,_tensor_constant184,get_attr,_tensor_constant184,,mm_default,"[
  4096,
  4096
]",float16
19,qkv_projection,mm_default,call_function,aten.mm.default,view_default _tensor_constant184,_unsafe_view_default,,
20,qkv_projection,_unsafe_view_default,call_function,aten._unsafe_view.default,mm_default,view_default_3,,
21,qkv_projection,view_default_1,call_function,aten.view.default,mul_tensor_1,mm_default_1,,
