exit_indicator_in,exit_indicator_out,forward_id,hidden_shape_in,hidden_shape_out,important_visual_tokens_in,kv_len,layer_idx,past_len,phase,position_shape,prefix,q_len
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,0,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,1,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,2,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,3,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,4,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,5,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,6,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,7,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,8,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,9,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,10,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,11,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,12,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,13,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,14,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,15,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,16,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,17,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 624, 4096]","[1, 624, 4096]",,624,18,0,prefill,"[1, 624]",profile,624
0,0,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,19,0,prefill,"[1, 58]",profile,58
0,0,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,20,0,prefill,"[1, 58]",profile,58
0,0,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,21,0,prefill,"[1, 58]",profile,58
0,0,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,22,0,prefill,"[1, 58]",profile,58
0,0,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,23,0,prefill,"[1, 58]",profile,58
0,0,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,24,0,prefill,"[1, 58]",profile,58
0,1,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,25,0,prefill,"[1, 58]",profile,58
1,1,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,26,0,prefill,"[1, 58]",profile,58
1,2,1,"[1, 58, 4096]","[1, 58, 4096]",10,58,27,0,prefill,"[1, 58]",profile,58
2,2,1,"[1, 48, 4096]","[1, 48, 4096]",10,48,28,0,prefill,"[1, 48]",profile,48
2,2,1,"[1, 48, 4096]","[1, 48, 4096]",10,48,29,0,prefill,"[1, 48]",profile,48
2,2,1,"[1, 48, 4096]","[1, 48, 4096]",10,48,30,0,prefill,"[1, 48]",profile,48
2,2,1,"[1, 48, 4096]","[1, 48, 4096]",10,48,31,0,prefill,"[1, 48]",profile,48
